0.6554175    ,0.4956236   ,3.004227 ,7533394
0.6554175    ,0.4956236   ,3.004227 ,7533394
0.6541611    ,0.4753026   ,3.005276 ,7533426
0.6511611    ,0.476019    ,3.003689 ,7533462
0.6421623    ,0.4743399   ,2.996945 ,7533494
0.6291539    ,0.4957664   ,2.994075 ,7533526
0.6227855    ,0.498839    ,2.992423 ,7533562
0.618384     ,0.4903309   ,2.994703 ,7533594
0.6082175    ,0.4962231   ,2.996788 ,7533626
0.6045471    ,0.4991427   ,2.997282 ,7533662
0.5961169    ,0.5005723   ,3.002807 ,7533694
0.5873902    ,0.4996331   ,3.005021 ,7533726
0.579242     ,0.5014642   ,3.012751 ,7533762
0.571149     ,0.503159    ,3.019225 ,7533794
0.5667533    ,0.5027556   ,3.021409 ,7533826
0.5567622    ,0.4871404   ,3.030112 ,7533862
0.5491333    ,0.4964109   ,3.033231 ,7533894
0.546805     ,0.4971096   ,3.033855 ,7533926
0.5451442    ,0.4980479   ,3.035491 ,7533962
0.5441211    ,0.4980233   ,3.036197 ,7533994
0.5442766    ,0.4944327   ,3.032971 ,7534026
0.5442924    ,0.4930899   ,3.032308 ,7534062
0.5454623    ,0.4912552   ,3.032341 ,7534094
0.5481437    ,0.4889818   ,3.034261 ,7534126
0.5519812    ,0.4908267   ,3.03456  ,7534162
0.5532626    ,0.4915397   ,3.035731 ,7534194
0.5617332    ,0.4931566   ,3.03831  ,7534226
0.5665135    ,0.4961599   ,3.041378 ,7534262
0.57225      ,0.4978021   ,3.045348 ,7534294
0.57643      ,0.4985153   ,3.053553 ,7534326
0.5806252    ,0.4988987   ,3.05629  ,7534362
0.5857408    ,0.4996811   ,3.059783 ,7534394
0.5863833    ,0.4991606   ,3.059798 ,7534430
0.5888576    ,0.4978082   ,3.061425 ,7534462
0.590013     ,0.4973826   ,3.064364 ,7534494
0.593464     ,0.4942136   ,3.068383 ,7534530
0.594229     ,0.4950092   ,3.072459 ,7534562
0.5981826    ,0.4932585   ,3.077334 ,7534594
0.599443     ,0.4943354   ,3.081301 ,7534630
0.6074234    ,0.4948806   ,3.087855 ,7534662
0.6108055    ,0.4968057   ,3.091088 ,7534694
0.6135659    ,0.4983979   ,3.09527  ,7534730
0.6184759    ,0.4984266   ,3.100767 ,7534762
0.6312369    ,0.4981032   ,3.109621 ,7534794
0.6398657    ,0.4960206   ,3.116023 ,7534830
0.646448     ,0.4964685   ,3.120682 ,7534862
0.6576494    ,0.4961542   ,3.133651 ,7534894
0.6649054    ,0.4954831   ,3.137225 ,7534930
0.6771719    ,0.4947189   ,3.146567 ,7534962
0.6820242    ,0.4925738   ,3.148163 ,7534994
0.6915288    ,0.4953493   ,3.154522 ,7535030
0.6966602    ,0.493001    ,3.157017 ,7535062
0.6981758    ,0.4910834   ,3.159094 ,7535094
0.699784     ,0.4909497   ,3.160731 ,7535130
